"","chart_week","current_week","title","performer","last_week","peak_pos","wks_on_chart"
"1040","2025-03-15","40","No One Noticed","The Marias","LW","41","PEAK"
"1041","2025-03-15","41","Who","Jimin","LW","33","PEAK"
"1042","2025-03-15","42","Baile Inolvidable","Bad Bunny","LW","39","PEAK"
"1043","2025-03-15","43","Please Please Please","Sabrina Carpenter","LW","36","PEAK"
"1044","2025-03-15","44","Sorry I'm Here For Someone Else","Benson Boone","LW","-","PEAK"
"1045","2025-03-15","45","A N X I E T Y","Sleepy Hallow Featuring Doechii","LW","-","PEAK"
"1046","2025-03-15","46","Peekaboo","Kendrick Lamar Featuring AzChike","LW","37","PEAK"
"1047","2025-03-15","47","Whatchu Kno About Me","GloRilla & Sexyy Red","LW","49","PEAK"
"1048","2025-03-15","48","Wildflower","Billie Eilish","LW","45","PEAK"
"1049","2025-03-15","49","Indigo","Sam Barber Featuring Avery Anna","LW","55","PEAK"
"1050","2025-03-15","50","Smile","Morgan Wallen","LW","48","PEAK"
"1051","2025-03-15","51","Residuals","Chris Brown","LW","56","PEAK"
"1052","2025-03-15","52","Sticky","Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne","LW","47","PEAK"
"1053","2025-03-15","53","Cry For Me","The Weeknd","LW","50","PEAK"
"1054","2025-03-15","54","Bad Dreams","Teddy Swims","LW","62","PEAK"
"1055","2025-03-15","55","Good News","Shaboozey","LW","63","PEAK"
"1056","2025-03-15","56","Ms. Whitman","Bhad Bhabie","LW","-","PEAK"
"1057","2025-03-15","57","Tweaker","GELO","LW","57","PEAK"
"1058","2025-03-15","58","I Ain't Sayin'","Jordan Davis","LW","65","PEAK"
"1059","2025-03-15","59","Mutt","Leon Thomas","LW","67","PEAK"
"1060","2025-03-15","60","Worst Way","Riley Green","LW","59","PEAK"
"1061","2025-03-15","61","Busy Woman","Sabrina Carpenter","LW","52","PEAK"
"1062","2025-03-15","62","Somebody Loves Me","PARTYNEXTDOOR, Drake & Cash Cobain","LW","61","PEAK"
"1063","2025-03-15","63","Loco","Neton Vega","LW","66","PEAK"
"1064","2025-03-15","64","Ordinary","Alex Warren","LW","71","PEAK"
"1065","2025-03-15","65","Me Jalo","Fuerza Regida & Grupo Frontera","LW","81","PEAK"
"1066","2025-03-15","66","Nuevayol","Bad Bunny","LW","68","PEAK"
"1067","2025-03-15","67","Am I Okay?","Megan Moroney","LW","79","PEAK"
"1068","2025-03-15","68","Fat Juicy & Wet","Sexyy Red & Bruno Mars","LW","70","PEAK"
"1069","2025-03-15","69","Like Him","Tyler, The Creator Featuring Lola Young","LW","73","PEAK"
"1070","2025-03-15","70","Heart Of A Woman","Summer Walker","LW","80","PEAK"
"1071","2025-03-15","71","Dear God","Tate McRae","LW","44","PEAK"
"1072","2025-03-15","72","Call Me When You Break Up","Selena Gomez, Benny Blanco & Gracie Abrams","LW","58","PEAK"
"1073","2025-03-15","73","I Know Love","Tate McRae Featauring The Kid Laroi","LW","43","PEAK"
"1074","2025-03-15","74","4x4xU","Lainey Wilson","LW","77","PEAK"
"1075","2025-03-15","75","Purple Lace Bra","Tate McRae","LW","53","PEAK"
"1076","2025-03-15","76","Miss Possessive","Tate McRae","LW","54","PEAK"
"1077","2025-03-15","77","cLOUDs","J. Cole","LW","69","PEAK"
"1078","2025-03-15","78RE-ENTRY","Hard Fought Hallelujah","Brandon Lake X Jelly Roll","LW","-","PEAK"
"1079","2025-03-15","79","Por Esos Ojos","Fuerza Regida","LW","85","PEAK"
"1080","2025-03-15","80","CN Tower","PARTYNEXTDOOR & Drake","LW","60","PEAK"
"1081","2025-03-15","81","Little Things","Ella Mai","LW","89","PEAK"
"1082","2025-03-15","82","Backseat Driver","Kane Brown","LW","93","PEAK"
"1083","2025-03-15","83","Headlock","Imogen Heap","LW","82","PEAK"
"1084","2025-03-15","84","No Pole","Don Toliver","LW","96","PEAK"
"1085","2025-03-15","85","Tattoo","Tito Double P","LW","-","PEAK"
"1086","2025-03-15","86","Voy A Llevarte Pa PR","Bad Bunny","LW","84","PEAK"
"1087","2025-03-15","87","The Largest","BigXthaPlug","LW","88","PEAK"
"1088","2025-03-15","88","Weren't For The Wind","Ella Langley","LW","100","PEAK"
"1089","2025-03-15","89","Something About You","PARTYNEXTDOOR & Drake","LW","72","PEAK"
"1090","2025-03-15","90","Que Pasaria...","Rauw Alejandro & Bad Bunny","LW","98","PEAK"
"1091","2025-03-15","91RE-ENTRY","Burning Down","Alex Warren","LW","-","PEAK"
"1092","2025-03-15","92","EOO","Bad Bunny","LW","92","PEAK"
"1093","2025-03-15","93RE-ENTRY","Push 2 Start","Tyla","LW","-","PEAK"
"1094","2025-03-15","94RE-ENTRY","Tu Boda","Oscar Maydon & Fuerza Regida","LW","-","PEAK"
"1095","2025-03-15","95RE-ENTRY","Are You Even Real","Teddy Swims & GIVEON","LW","-","PEAK"
"1096","2025-03-15","96RE-ENTRY","Born Again","LISA Featuring Doja Cat & RAYE","LW","-","PEAK"
"1097","2025-03-15","97RE-ENTRY","Twenties","Giveon","LW","-","PEAK"
"1098","2025-03-15","98","Deeper","PARTYNEXTDOOR","LW","78","PEAK"
"1099","2025-03-15","99RE-ENTRY","Holy Smokes","Bailey Zimmerman","LW","-","PEAK"
"1100","2025-03-15","100RE-ENTRY","7 Dias","Gabito Ballesteros & Tito Double P","LW","-","PEAK"
"1101","2025-03-22","1","Luther","Kendrick Lamar & SZA","LW","1","PEAK"
"1102","2025-03-22","2","Die With A Smile","Lady Gaga & Bruno Mars","LW","2","PEAK"
"1103","2025-03-22","3","Not Like Us","Kendrick Lamar","LW","3","PEAK"
"1104","2025-03-22","4","A Bar Song (Tipsy)","Shaboozey","LW","5","PEAK"
"1105","2025-03-22","5","TV Off","Kendrick Lamar Featuring Lefty Gunplay","LW","4","PEAK"
"1106","2025-03-22","6","APT.","ROSE & Bruno Mars","LW","6","PEAK"
"1107","2025-03-22","7","Pink Pony Club","Chappell Roan","LW","8","PEAK"
"1108","2025-03-22","8","Nokia","Drake","LW","10","PEAK"
"1109","2025-03-22","9","Birds Of A Feather","Billie Eilish","LW","7","PEAK"
"1110","2025-03-22","10","Lose Control","Teddy Swims","LW","9","PEAK"
"1111","2025-03-22","11","That's So True","Gracie Abrams","LW","11","PEAK"
"1112","2025-03-22","12","Beautiful Things","Benson Boone","LW","12","PEAK"
"1113","2025-03-22","13","Anxiety","Doechii","LW","-","PEAK"
"1114","2025-03-22","14","I Had Some Help","Post Malone Featuring Morgan Wallen","LW","15","PEAK"
"1115","2025-03-22","15","Love Somebody","Morgan Wallen","LW","13","PEAK"
"1116","2025-03-22","16","Squabble Up","Kendrick Lamar","LW","14","PEAK"
"1117","2025-03-22","17","I'm The Problem","Morgan Wallen","LW","17","PEAK"
"1118","2025-03-22","18","Espresso","Sabrina Carpenter","LW","18","PEAK"
"1119","2025-03-22","19","Abracadabra","Lady Gaga","LW","29","PEAK"
"1120","2025-03-22","20","30 For 30","SZA With Kendrick Lamar","LW","16","PEAK"
"1121","2025-03-22","21","Timeless","The Weeknd & Playboi Carti","LW","19","PEAK"
"1122","2025-03-22","22","Sports Car","Tate McRae","LW","21","PEAK"
"1123","2025-03-22","23","Denial Is A River","Doechii","LW","22","PEAK"
"1124","2025-03-22","24","Messy","Lola Young","LW","20","PEAK"
"1125","2025-03-22","25","Taste","Sabrina Carpenter","LW","23","PEAK"
"1126","2025-03-22","26","Too Sweet","Hozier","LW","24","PEAK"
"1127","2025-03-22","27","Good Luck, Babe!","Chappell Roan","LW","27","PEAK"
"1128","2025-03-22","28","Stargazing","Myles Smith","LW","28","PEAK"
"1129","2025-03-22","29","Who","Jimin","LW","41","PEAK"
"1130","2025-03-22","30","Bed Chem","Sabrina Carpenter","LW","32","PEAK"
"1131","2025-03-22","31","Revolving Door","Tate McRae","LW","25","PEAK"
"1132","2025-03-22","32","Liar","Jelly Roll","LW","31","PEAK"
"1133","2025-03-22","33","All The Stars","Kendrick Lamar & SZA","LW","26","PEAK"
"1134","2025-03-22","34","I Never Lie","Zach Top","LW","36","PEAK"
"1135","2025-03-22","35","DTMF","Bad Bunny","LW","30","PEAK"
"1136","2025-03-22","36","High Road","Koe Wetzel & Jessie Murph","LW","33","PEAK"
"1137","2025-03-22","37","I'm Gonna Love You","Cody Johnson & Carrie Underwood","LW","39","PEAK"
"1138","2025-03-22","38","Sailor Song","Gigi Perez","LW","35","PEAK"
"1139","2025-03-22","39","BMF","SZA","LW","37","PEAK"
"1140","2025-03-22","40","Die Trying","PARTYNEXTDOOR, Drake & Yebba","LW","34","PEAK"
"1141","2025-03-22","41","No One Noticed","The Marias","LW","40","PEAK"
"1142","2025-03-22","42","Indigo","Sam Barber Featuring Avery Anna","LW","49","PEAK"
"1143","2025-03-22","43","Ordinary","Alex Warren","LW","64","PEAK"
"1144","2025-03-22","44","Baile Inolvidable","Bad Bunny","LW","42","PEAK"
"1145","2025-03-22","45","Bad Dreams","Teddy Swims","LW","54","PEAK"
"1146","2025-03-22","46","Wildflower","Billie Eilish","LW","48","PEAK"
"1147","2025-03-22","47","Whatchu Kno About Me","GloRilla & Sexyy Red","LW","47","PEAK"
"1148","2025-03-22","48","Worst Way","Riley Green","LW","60","PEAK"
"1149","2025-03-22","49","Residuals","Chris Brown","LW","51","PEAK"
"1150","2025-03-22","50","Please Please Please","Sabrina Carpenter","LW","43","PEAK"
"1151","2025-03-22","51","Good News","Shaboozey","LW","55","PEAK"
"1152","2025-03-22","52","Garden Of Eden","Lady Gaga","LW","-","PEAK"
"1153","2025-03-22","53","Gimme A Hug","Drake","LW","38","PEAK"
"1154","2025-03-22","54","Smile","Morgan Wallen","LW","50","PEAK"
"1155","2025-03-22","55","Peekaboo","Kendrick Lamar Featuring AzChike","LW","46","PEAK"
"1156","2025-03-22","56","Cry For Me","The Weeknd","LW","53","PEAK"
"1157","2025-03-22","57","Sorry I'm Here For Someone Else","Benson Boone","LW","44","PEAK"
"1158","2025-03-22","58","Sticky","Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne","LW","52","PEAK"
"1159","2025-03-22","59","A N X I E T Y","Sleepy Hallow Featuring Doechii","LW","45","PEAK"
"1160","2025-03-22","60","Mutt","Leon Thomas","LW","59","PEAK"
"1161","2025-03-22","61","Vanish Into You","Lady Gaga","LW","-","PEAK"
"1162","2025-03-22","62","Tweaker","GELO","LW","57","PEAK"
"1163","2025-03-22","63","Me Jalo","Fuerza Regida & Grupo Frontera","LW","65","PEAK"
"1164","2025-03-22","64","Loco","Neton Vega","LW","63","PEAK"
"1165","2025-03-22","65","Somebody Loves Me","PARTYNEXTDOOR, Drake & Cash Cobain","LW","62","PEAK"
"1166","2025-03-22","66","Sweet Dreams","J-Hope Featuring Miguel","LW","-","PEAK"
"1167","2025-03-22","67","Busy Woman","Sabrina Carpenter","LW","61","PEAK"
"1168","2025-03-22","68","Ms. Whitman","Bhad Bhabie","LW","56","PEAK"
"1169","2025-03-22","69","How Bad Do U Want Me","Lady Gaga","LW","-","PEAK"
"1170","2025-03-22","70","Am I Okay?","Megan Moroney","LW","67","PEAK"
"1171","2025-03-22","71RE-ENTRY","Disease","Lady Gaga","LW","-","PEAK"
"1172","2025-03-22","72","Tattoo","Tito Double P","LW","85","PEAK"
"1173","2025-03-22","73","Hard Fought Hallelujah","Brandon Lake X Jelly Roll","LW","78","PEAK"
"1174","2025-03-22","74","Nuevayol","Bad Bunny","LW","66","PEAK"
"1175","2025-03-22","75","Heart Of A Woman","Summer Walker","LW","70","PEAK"
"1176","2025-03-22","76","Like Him","Tyler, The Creator Featuring Lola Young","LW","69","PEAK"
"1177","2025-03-22","77","I Ain't Sayin'","Jordan Davis","LW","58","PEAK"
"1178","2025-03-22","78","Fat Juicy & Wet","Sexyy Red & Bruno Mars","LW","68","PEAK"
"1179","2025-03-22","79","No Pole","Don Toliver","LW","84","PEAK"
"1180","2025-03-22","80","Handlebars","JENNIE & Dua Lipa","LW","-","PEAK"
"1181","2025-03-22","81","Perfect Celebrity","Lady Gaga","LW","-","PEAK"
"1182","2025-03-22","82","Weren't For The Wind","Ella Langley","LW","88","PEAK"
"1183","2025-03-22","83","like JENNIE","JENNIE","LW","-","PEAK"
"1184","2025-03-22","84","Little Things","Ella Mai","LW","81","PEAK"
"1185","2025-03-22","85","Zombieboy","Lady Gaga","LW","-","PEAK"
"1186","2025-03-22","86","Burning Down","Alex Warren","LW","91","PEAK"
"1187","2025-03-22","87","Proud Of Me","Fridayy & Meek Mill","LW","-","PEAK"
"1188","2025-03-22","88","Por Esos Ojos","Fuerza Regida","LW","79","PEAK"
"1189","2025-03-22","89","Push 2 Start","Tyla","LW","93","PEAK"
"1190","2025-03-22","90","The Largest","BigXthaPlug","LW","87","PEAK"
"1191","2025-03-22","91","4x4xU","Lainey Wilson","LW","74","PEAK"
"1192","2025-03-22","92","Headlock","Imogen Heap","LW","83","PEAK"
"1193","2025-03-22","93","Killah","Lady Gaga Featuring Gesaffelstein","LW","-","PEAK"
"1194","2025-03-22","94","Call Me When You Break Up","Selena Gomez, Benny Blanco & Gracie Abrams","LW","72","PEAK"
"1195","2025-03-22","95","LoveDrug","Lady Gaga","LW","-","PEAK"
"1196","2025-03-22","96","Voy A Llevarte Pa PR","Bad Bunny","LW","86","PEAK"
"1197","2025-03-22","97","Texas","Blake Shelton","LW","-","PEAK"
"1198","2025-03-22","98","Tu Boda","Oscar Maydon & Fuerza Regida","LW","94","PEAK"
"1199","2025-03-22","99RE-ENTRY","ExtraL","JENNIE & Doechii","LW","-","PEAK"
"1200","2025-03-22","100","Te Queria Ver","Aleman X Neton Vega","LW","-","PEAK"
"1201","2025-03-29","1","Luther","Kendrick Lamar & SZA","LW","1","PEAK"
"1202","2025-03-29","2","Evil J0rdan","Playboi Carti","LW","-","PEAK"
"1203","2025-03-29","3","Die With A Smile","Lady Gaga & Bruno Mars","LW","2","PEAK"
"1204","2025-03-29","4","Rather Lie","Playboi Carti & The Weeknd","LW","-","PEAK"
"1205","2025-03-29","5","The Giver","Chappell Roan","LW","-","PEAK"
"1206","2025-03-29","6","A Bar Song (Tipsy)","Shaboozey","LW","4","PEAK"
"1207","2025-03-29","7","Birds Of A Feather","Billie Eilish","LW","9","PEAK"
"1208","2025-03-29","8","Not Like Us","Kendrick Lamar","LW","3","PEAK"
"1209","2025-03-29","9","Pink Pony Club","Chappell Roan","LW","7","PEAK"
"1210","2025-03-29","10","Anxiety","Doechii","LW","13","PEAK"
"1211","2025-03-29","11","Nokia","Drake","LW","8","PEAK"
"1212","2025-03-29","12","Lose Control","Teddy Swims","LW","10","PEAK"
"1213","2025-03-29","13","TV Off","Kendrick Lamar Featuring Lefty Gunplay","LW","5","PEAK"
"1214","2025-03-29","14","APT.","ROSE & Bruno Mars","LW","6","PEAK"
"1215","2025-03-29","15","Beautiful Things","Benson Boone","LW","12","PEAK"
"1216","2025-03-29","16","That's So True","Gracie Abrams","LW","11","PEAK"
"1217","2025-03-29","17","Good Credit","Playboi Carti & Kendrick Lamar","LW","-","PEAK"
"1218","2025-03-29","18","Love Somebody","Morgan Wallen","LW","15","PEAK"
"1219","2025-03-29","19","I Had Some Help","Post Malone Featuring Morgan Wallen","LW","14","PEAK"
"1220","2025-03-29","20","Crush","Playboi Carti & Travis Scott","LW","-","PEAK"
"1221","2025-03-29","21","I'm The Problem","Morgan Wallen","LW","17","PEAK"
"1222","2025-03-29","22","Espresso","Sabrina Carpenter","LW","18","PEAK"
"1223","2025-03-29","23","Timeless","The Weeknd & Playboi Carti","LW","21","PEAK"
"1224","2025-03-29","24","Squabble Up","Kendrick Lamar","LW","16","PEAK"
"1225","2025-03-29","25","Backd00r","Playboi Carti Featuring Kendrick Lamar & Jhene Aiko","LW","-","PEAK"
"1226","2025-03-29","26","30 For 30","SZA With Kendrick Lamar","LW","20","PEAK"
"1227","2025-03-29","27","Mojo Jojo","Playboi Carti","LW","-","PEAK"
"1228","2025-03-29","28","Philly","Playboi Carti & Travis Scott","LW","-","PEAK"
"1229","2025-03-29","29","Messy","Lola Young","LW","24","PEAK"
"1230","2025-03-29","30","Sports Car","Tate McRae","LW","22","PEAK"
"1231","2025-03-29","31","Denial Is A River","Doechii","LW","23","PEAK"
"1232","2025-03-29","32","Too Sweet","Hozier","LW","26","PEAK"
"1233","2025-03-29","33","Fine Shit","Playboi Carti","LW","-","PEAK"
"1234","2025-03-29","34","Toxic","Playboi Carti & Skepta","LW","-","PEAK"
"1235","2025-03-29","35","Ordinary","Alex Warren","LW","43","PEAK"
"1236","2025-03-29","36","Taste","Sabrina Carpenter","LW","25","PEAK"
"1237","2025-03-29","37","Abracadabra","Lady Gaga","LW","19","PEAK"
"1238","2025-03-29","38","K Pop","Playboi Carti","LW","-","PEAK"
"1239","2025-03-29","39","Good Luck, Babe!","Chappell Roan","LW","27","PEAK"
"1240","2025-03-29","40","Bed Chem","Sabrina Carpenter","LW","30","PEAK"
"1241","2025-03-29","41","Pop Out","Playboi Carti","LW","-","PEAK"
"1242","2025-03-29","42","Stargazing","Myles Smith","LW","28","PEAK"
"1243","2025-03-29","43","Radar","Playboi Carti","LW","-","PEAK"
"1244","2025-03-29","44","I Never Lie","Zach Top","LW","34","PEAK"
"1245","2025-03-29","45","Dark Thoughts","Lil Tecca","LW","-","PEAK"
"1246","2025-03-29","46","Trim","Playboi Carti & Future","LW","-","PEAK"
"1247","2025-03-29","47","I'm Gonna Love You","Cody Johnson & Carrie Underwood","LW","37","PEAK"
"1248","2025-03-29","48","HBA","Playboi Carti","LW","-","PEAK"
"1249","2025-03-29","49","Charge Dem Hoes A Fee","Playboi Carti, Future & Travis Scott","LW","-","PEAK"
"1250","2025-03-29","50","Sailor Song","Gigi Perez","LW","38","PEAK"
"1251","2025-03-29","51","DTMF","Bad Bunny","LW","35","PEAK"
"1252","2025-03-29","52","Wake Up F1lthy","Playboi Carti & Travis Scott","LW","-","PEAK"
"1253","2025-03-29","53","Jumpin","Playboi Carti & Lil Uzi Vert","LW","-","PEAK"
"1254","2025-03-29","54","I Seeeeee You Baby Boi","Playboi Carti","LW","-","PEAK"
"1255","2025-03-29","55","Crank","Playboi Carti","LW","-","PEAK"
"1256","2025-03-29","56","Like Weezy","Playboi Carti","LW","-","PEAK"
"1257","2025-03-29","57","Emergence","Sleep Token","LW","-","PEAK"
"1258","2025-03-29","58","Twin Trim","Playboi Carti & Lil Uzi Vert","LW","-","PEAK"
"1259","2025-03-29","59","Revolving Door","Tate McRae","LW","31","PEAK"
"1260","2025-03-29","60","Bad Dreams","Teddy Swims","LW","45","PEAK"
"1261","2025-03-29","61","BMF","SZA","LW","39","PEAK"
"1262","2025-03-29","62","Residuals","Chris Brown","LW","49","PEAK"
"1263","2025-03-29","63","Indigo","Sam Barber Featuring Avery Anna","LW","42","PEAK"
"1264","2025-03-29","64","No One Noticed","The Marias","LW","41","PEAK"
"1265","2025-03-29","65","Olympian","Playboi Carti","LW","-","PEAK"
"1266","2025-03-29","66","Worst Way","Riley Green","LW","48","PEAK"
"1267","2025-03-29","67","Wildflower","Billie Eilish","LW","46","PEAK"
"1268","2025-03-29","68","Baile Inolvidable","Bad Bunny","LW","44","PEAK"
"1269","2025-03-29","69","Munyun","Playboi Carti","LW","-","PEAK"
"1270","2025-03-29","70","Sorry I'm Here For Someone Else","Benson Boone","LW","57","PEAK"
"1271","2025-03-29","71","We Need All Da Vibes","Playboi Carti, Young Thug & Ty Dolla $ign","LW","-","PEAK"
"1272","2025-03-29","72","Good News","Shaboozey","LW","51","PEAK"
"1273","2025-03-29","73","Cry For Me","The Weeknd","LW","56","PEAK"
"1274","2025-03-29","74","Smile","Morgan Wallen","LW","54","PEAK"
"1275","2025-03-29","75","OPM Babi","Playboi Carti","LW","-","PEAK"
"1276","2025-03-29","76","Die Trying","PARTYNEXTDOOR, Drake & Yebba","LW","40","PEAK"
"1277","2025-03-29","77","Mutt","Leon Thomas","LW","60","PEAK"
"1278","2025-03-29","78","Gimme A Hug","Drake","LW","53","PEAK"
"1279","2025-03-29","79","Peekaboo","Kendrick Lamar Featuring AzChike","LW","55","PEAK"
"1280","2025-03-29","80","Cocaine Nose","Playboi Carti","LW","-","PEAK"
"1281","2025-03-29","81","Me Jalo","Fuerza Regida & Grupo Frontera","LW","63","PEAK"
"1282","2025-03-29","82","Tweaker","GELO","LW","62","PEAK"
"1283","2025-03-29","83","Somebody Loves Me","PARTYNEXTDOOR, Drake & Cash Cobain","LW","65","PEAK"
"1284","2025-03-29","84","Loco","Neton Vega","LW","64","PEAK"
"1285","2025-03-29","85","Dis 1 Got It","Playboi Carti","LW","-","PEAK"
"1286","2025-03-29","86","Overly","Playboi Carti","LW","-","PEAK"
"1287","2025-03-29","87","Busy Woman","Sabrina Carpenter","LW","67","PEAK"
"1288","2025-03-29","88","South Atlanta Baby","Playboi Carti","LW","-","PEAK"
"1289","2025-03-29","89","Nuevayol","Bad Bunny","LW","74","PEAK"
"1290","2025-03-29","90","Heart Of A Woman","Summer Walker","LW","75","PEAK"
"1291","2025-03-29","91","Tattoo","Tito Double P","LW","72","PEAK"
"1292","2025-03-29","92","Hard Fought Hallelujah","Brandon Lake X Jelly Roll","LW","73","PEAK"
"1293","2025-03-29","93","Like Him","Tyler, The Creator Featuring Lola Young","LW","76","PEAK"
"1294","2025-03-29","94","Burning Down","Alex Warren","LW","86","PEAK"
"1295","2025-03-29","95","Weren't For The Wind","Ella Langley","LW","82","PEAK"
"1296","2025-03-29","96","Walk","Playboi Carti","LW","-","PEAK"
"1297","2025-03-29","97","I Ain't Sayin'","Jordan Davis","LW","77","PEAK"
"1298","2025-03-29","98","No Pole","Don Toliver","LW","79","PEAK"
"1299","2025-03-29","99","Am I Okay?","Megan Moroney","LW","70","PEAK"
"1300","2025-03-29","100","Ms. Whitman","Bhad Bhabie","LW","68","PEAK"
